>>12:26:10 : выставлено : Нет связи с транспортным модулем
>>12:26:12 : снято : Нет связи с транспортным модулем
>>12:26:36 : выставлено : Нет связи с транспортным модулем
>>12:26:37 : снято : Нет связи с транспортным модулем
>>12:26:44 : выставлено : Нет связи с транспортным модулем
>>12:26:45 : снято : Нет связи с транспортным модулем
>>12:26:55 : выставлено : Нет связи с транспортным модулем
>>12:26:57 : снято : Нет связи с транспортным модулем
>>12:27:00 : выставлено : Нет связи с транспортным модулем
>>12:27:02 : снято : Нет связи с транспортным модулем
>>12:27:04 : выставлено : Нет связи с транспортным модулем
>>12:27:04 : снято : Нет связи с транспортным модулем
>>12:27:08 : выставлено : Нет связи с транспортным модулем
>>12:27:13 : снято : Нет связи с транспортным модулем
>>12:27:18 : выставлено : Нет связи с транспортным модулем
>>12:27:22 : снято : Нет связи с транспортным модулем
>>12:27:29 : выставлено : Нет связи с транспортным модулем
>>12:27:31 : снято : Нет связи с транспортным модулем
>>12:27:35 : выставлено : Нет связи с транспортным модулем
>>12:27:44 : снято : Нет связи с транспортным модулем
>>12:27:46 : выставлено : Нет связи с транспортным модулем
>>12:27:47 : снято : Нет связи с транспортным модулем
>>12:27:49 : выставлено : Нет связи с транспортным модулем
>>12:27:52 : снято : Нет связи с транспортным модулем
>>12:27:55 : выставлено : Нет связи с транспортным модулем
>>12:27:56 : снято : Нет связи с транспортным модулем
>>12:27:58 : выставлено : Нет связи с транспортным модулем
>>12:28:05 : снято : Нет связи с транспортным модулем
>>12:28:07 : выставлено : Нет связи с транспортным модулем
>>12:28:12 : снято : Нет связи с транспортным модулем
>>12:28:15 : выставлено : Нет связи с транспортным модулем
>>12:28:16 : снято : Нет связи с транспортным модулем
>>12:28:20 : выставлено : Нет связи с транспортным модулем
>>12:28:26 : снято : Нет связи с транспортным модулем
>>12:28:28 : выставлено : Нет связи с транспортным модулем
>>12:28:33 : снято : Нет связи с транспортным модулем
>>12:28:36 : выставлено : Нет связи с транспортным модулем
>>12:28:40 : снято : Нет связи с транспортным модулем
>>12:28:42 : выставлено : Нет связи с транспортным модулем
>>12:28:50 : снято : Нет связи с транспортным модулем
>>12:28:55 : выставлено : Нет связи с транспортным модулем
>>12:28:55 : снято : Нет связи с транспортным модулем
>>12:29:11 : выставлено : Нет связи с транспортным модулем
>>12:29:12 : снято : Нет связи с транспортным модулем
>>12:29:16 : выставлено : Нет связи с транспортным модулем
>>12:29:20 : снято : Нет связи с транспортным модулем
>>12:29:22 : выставлено : Нет связи с транспортным модулем
>>12:29:23 : снято : Нет связи с транспортным модулем
>>12:29:27 : выставлено : Нет связи с транспортным модулем
>>12:29:42 : снято : Нет связи с транспортным модулем
>>12:29:46 : выставлено : Нет связи с транспортным модулем
>>12:29:50 : снято : Нет связи с транспортным модулем
>>12:29:52 : выставлено : Нет связи с транспортным модулем
>>12:29:55 : снято : Нет связи с транспортным модулем
>>12:29:58 : выставлено : Нет связи с транспортным модулем
>>12:30:09 : снято : Нет связи с транспортным модулем
>>12:30:13 : выставлено : Нет связи с транспортным модулем
>>12:30:15 : снято : Нет связи с транспортным модулем
>>12:30:17 : выставлено : Нет связи с транспортным модулем
>>12:30:35 : снято : Нет связи с транспортным модулем
>>12:30:44 : выставлено : Нет связи с транспортным модулем
>>12:30:45 : снято : Нет связи с транспортным модулем
>>12:30:55 : выставлено : Нет связи с транспортным модулем
>>12:30:57 : снято : Нет связи с транспортным модулем
>>12:30:59 : выставлено : Нет связи с транспортным модулем
>>12:31:12 : снято : Нет связи с транспортным модулем
>>12:31:15 : выставлено : Нет связи с транспортным модулем
>>12:31:22 : снято : Нет связи с транспортным модулем
>>12:31:27 : выставлено : Нет связи с транспортным модулем
>>12:31:31 : снято : Нет связи с транспортным модулем
>>12:31:33 : выставлено : Нет связи с транспортным модулем
>>12:31:37 : снято : Нет связи с транспортным модулем
>>12:31:39 : выставлено : Нет связи с транспортным модулем
>>12:31:46 : снято : Нет связи с транспортным модулем
>>12:31:48 : выставлено : Нет связи с транспортным модулем
>>12:31:52 : снято : Нет связи с транспортным модулем
>>12:31:54 : выставлено : Нет связи с транспортным модулем
