>>00:00:00 : выставлено : Нет давления в пневмосети
>>00:00:00 : выставлено : Нет охлаждения п/д
>>00:00:00 : выставлено : Нет охлаждения ФВН камеры
>>00:00:00 : выставлено : ТМН: температура не в норме
>>00:00:00 : выставлено : Нет охлаждения ТМН
>>00:00:00 : выставлено : Ограничение движения УС ВЧГ ИП(грубо)
>>00:00:00 : выставлено : Ограничение движения УС ВЧГ ИП(точно)
>>00:00:00 : выставлено : ФВН камеры: нет удаленного управления
>>00:00:00 : выставлено : ФВН камеры: предупреждение
>>00:00:00 : выставлено : Нет охлаждения ИП
>>00:00:00 : выставлено : Нет охлаждения ловушки
>>10:27:19 : снято : Ограничение движения УС ВЧГ ИП(грубо)
>>10:27:19 : снято : Ограничение движения УС ВЧГ ИП(точно)
>>10:27:41 : выставлено : Нет связи с транспортным модулем
>>10:27:41 : снято : Нет связи с транспортным модулем
>>10:28:27 : снято : Нет давления в пневмосети
>>10:30:39 : выставлено : Нет связи с транспортным модулем
>>10:31:41 : снято : Нет связи с транспортным модулем
>>10:33:00 : выставлено : Нет связи с транспортным модулем
>>10:33:00 : снято : Нет связи с транспортным модулем
>>10:33:08 : выставлено : Нет связи с транспортным модулем
>>10:33:11 : снято : Нет связи с транспортным модулем
>>10:33:15 : выставлено : Нет связи с транспортным модулем
>>10:33:17 : снято : Нет связи с транспортным модулем
>>10:33:20 : выставлено : Нет связи с транспортным модулем
>>10:33:21 : снято : Нет связи с транспортным модулем
>>10:33:23 : выставлено : Нет связи с транспортным модулем
>>10:33:36 : снято : Нет связи с транспортным модулем
>>10:33:48 : выставлено : Нет связи с транспортным модулем
>>10:33:49 : снято : Нет связи с транспортным модулем
>>10:33:58 : выставлено : Нет связи с транспортным модулем
>>10:34:00 : снято : Нет связи с транспортным модулем
>>10:34:03 : выставлено : Нет связи с транспортным модулем
>>10:36:51 : снято : Нет связи с транспортным модулем
>>10:38:57 : выставлено : Нет связи с транспортным модулем
>>10:40:25 : снято : Нет связи с транспортным модулем
>>10:45:08 : выставлено : Нет связи с транспортным модулем
>>10:46:17 : снято : Нет связи с транспортным модулем
>>10:46:59 : выставлено : Нет связи с транспортным модулем
>>10:47:03 : снято : Нет связи с транспортным модулем
>>11:04:30 : снято : ТМН: температура не в норме
>>11:23:13 : выставлено : Нет связи с транспортным модулем
>>11:24:42 : снято : Нет связи с транспортным модулем
>>11:25:10 : выставлено : Нет связи с транспортным модулем
>>11:25:12 : снято : Нет связи с транспортным модулем
>>11:35:38 : выставлено : Нет связи с транспортным модулем
>>11:37:48 : снято : Нет связи с транспортным модулем
>>11:37:54 : выставлено : Нет связи с транспортным модулем
>>11:37:55 : снято : Нет связи с транспортным модулем
>>13:39:51 : выставлено : Нет связи с транспортным модулем
>>13:39:52 : снято : Нет связи с транспортным модулем
>>13:40:28 : выставлено : Нет связи с транспортным модулем
>>13:40:29 : снято : Нет связи с транспортным модулем
>>13:44:40 : выставлено : Нет связи с транспортным модулем
>>13:44:40 : снято : Нет связи с транспортным модулем
>>13:45:06 : выставлено : Нет связи с транспортным модулем
>>13:45:07 : снято : Нет связи с транспортным модулем
>>13:47:40 : выставлено : Нет связи с транспортным модулем
>>13:47:41 : снято : Нет связи с транспортным модулем
>>13:49:52 : выставлено : Нет связи с транспортным модулем
>>13:49:53 : снято : Нет связи с транспортным модулем
>>13:50:09 : выставлено : Нет связи с транспортным модулем
>>13:50:09 : снято : Нет связи с транспортным модулем
>>13:51:01 : выставлено : Нет связи с транспортным модулем
>>13:51:02 : снято : Нет связи с транспортным модулем
>>13:51:24 : выставлено : Нет связи с транспортным модулем
>>13:51:25 : снято : Нет связи с транспортным модулем
>>13:52:53 : выставлено : Нет связи с транспортным модулем
>>13:52:56 : снято : Нет связи с транспортным модулем
>>13:52:58 : выставлено : Нет связи с транспортным модулем
>>13:53:08 : снято : Нет связи с транспортным модулем
>>13:53:42 : выставлено : Нет связи с транспортным модулем
>>13:53:48 : снято : Нет связи с транспортным модулем
>>13:53:50 : выставлено : Нет связи с транспортным модулем
>>13:53:58 : снято : Нет связи с транспортным модулем
>>13:54:06 : выставлено : Нет связи с транспортным модулем
>>13:54:08 : снято : Нет связи с транспортным модулем
>>13:54:10 : выставлено : Нет связи с транспортным модулем
>>13:54:21 : снято : Нет связи с транспортным модулем
>>13:54:32 : выставлено : Нет связи с транспортным модулем
>>13:54:34 : снято : Нет связи с транспортным модулем
>>13:54:36 : выставлено : Нет связи с транспортным модулем
>>13:54:43 : снято : Нет связи с транспортным модулем
>>13:54:45 : выставлено : Нет связи с транспортным модулем
>>13:54:46 : снято : Нет связи с транспортным модулем
>>13:54:53 : выставлено : Нет связи с транспортным модулем
>>13:55:11 : снято : Нет связи с транспортным модулем
>>13:55:20 : выставлено : Нет связи с транспортным модулем
>>13:55:22 : снято : Нет связи с транспортным модулем
>>13:55:46 : выставлено : Нет связи с транспортным модулем
>>13:55:54 : снято : Нет связи с транспортным модулем
>>13:55:56 : выставлено : Нет связи с транспортным модулем
>>13:55:59 : снято : Нет связи с транспортным модулем
>>13:56:18 : выставлено : Нет связи с транспортным модулем
>>13:56:19 : снято : Нет связи с транспортным модулем
>>13:56:38 : выставлено : Нет связи с транспортным модулем
>>13:56:49 : снято : Нет связи с транспортным модулем
>>13:56:59 : выставлено : Нет связи с транспортным модулем
>>13:57:02 : снято : Нет связи с транспортным модулем
>>13:57:05 : выставлено : Нет связи с транспортным модулем
>>13:57:07 : снято : Нет связи с транспортным модулем
>>13:57:12 : выставлено : Нет связи с транспортным модулем
>>13:57:13 : снято : Нет связи с транспортным модулем
>>13:57:31 : выставлено : Нет связи с транспортным модулем
>>13:57:37 : снято : Нет связи с транспортным модулем
>>13:57:39 : выставлено : Нет связи с транспортным модулем
>>13:57:45 : снято : Нет связи с транспортным модулем
>>13:57:54 : выставлено : Нет связи с транспортным модулем
>>13:58:12 : снято : Нет связи с транспортным модулем
>>13:58:20 : выставлено : Нет связи с транспортным модулем
>>13:58:36 : снято : Нет связи с транспортным модулем
>>13:58:45 : выставлено : Нет связи с транспортным модулем
>>13:58:46 : снято : Нет связи с транспортным модулем
>>13:58:49 : выставлено : Нет связи с транспортным модулем
>>13:58:57 : снято : Нет связи с транспортным модулем
>>13:59:27 : выставлено : Нет связи с транспортным модулем
>>13:59:30 : снято : Нет связи с транспортным модулем
>>13:59:32 : выставлено : Нет связи с транспортным модулем
>>13:59:35 : снято : Нет связи с транспортным модулем
>>13:59:37 : выставлено : Нет связи с транспортным модулем
>>13:59:46 : снято : Нет связи с транспортным модулем
>>13:59:48 : выставлено : Нет связи с транспортным модулем
>>13:59:51 : снято : Нет связи с транспортным модулем
>>13:59:58 : выставлено : Нет связи с транспортным модулем
>>14:00:09 : снято : Нет связи с транспортным модулем
>>14:00:24 : выставлено : Нет связи с транспортным модулем
>>14:00:31 : снято : Нет связи с транспортным модулем
>>14:00:34 : выставлено : Нет связи с транспортным модулем
>>14:00:35 : снято : Нет связи с транспортным модулем
>>14:00:37 : выставлено : Нет связи с транспортным модулем
>>14:00:38 : снято : Нет связи с транспортным модулем
>>14:00:52 : выставлено : Нет связи с транспортным модулем
>>14:00:59 : снято : Нет связи с транспортным модулем
>>14:01:01 : выставлено : Нет связи с транспортным модулем
>>14:01:02 : снято : Нет связи с транспортным модулем
>>14:01:12 : выставлено : Нет связи с транспортным модулем
>>14:01:23 : снято : Нет связи с транспортным модулем
>>14:01:33 : выставлено : Нет связи с транспортным модулем
>>14:01:35 : снято : Нет связи с транспортным модулем
>>14:01:37 : выставлено : Нет связи с транспортным модулем
>>14:01:51 : снято : Нет связи с транспортным модулем
>>14:02:11 : выставлено : Нет связи с транспортным модулем
>>14:02:17 : снято : Нет связи с транспортным модулем
>>14:02:19 : выставлено : Нет связи с транспортным модулем
>>14:02:29 : снято : Нет связи с транспортным модулем
>>14:02:36 : выставлено : Нет связи с транспортным модулем
>>14:02:48 : снято : Нет связи с транспортным модулем
>>14:02:50 : выставлено : Нет связи с транспортным модулем
>>14:02:52 : снято : Нет связи с транспортным модулем
>>14:03:04 : выставлено : Нет связи с транспортным модулем
>>14:03:06 : снято : Нет связи с транспортным модулем
>>14:03:08 : выставлено : Нет связи с транспортным модулем
>>14:03:26 : снято : Нет связи с транспортным модулем
