>>07:43:09 : выставлено : Нет охлаждения магнетрона
>>07:43:09 : выставлено : Нет охлаждения ТМН
>>07:43:09 : выставлено : Нет охлаждения шлюза
>>07:43:09 : выставлено : Нет давления в пневмосети
>>07:43:09 : выставлено : ТМН: предупреждение по температуре
>>07:43:09 : выставлено : Авария привода вращения магнетрона
>>07:43:09 : выставлено : Авария привода вращения п/д
>>07:43:09 : выставлено : Авария привода поворота заслонки
>>07:43:09 : выставлено : Авария привода манипулятора
>>07:43:09 : выставлено : Авария привода подъёма п/д
>>07:43:10 : снято : Нет давления в пневмосети
>>07:43:10 : снято : ТМН: предупреждение по температуре
>>07:43:10 : снято : Авария привода вращения магнетрона
>>07:43:10 : снято : Авария привода вращения п/д
>>07:43:10 : снято : Авария привода поворота заслонки
>>07:43:10 : снято : Авария привода манипулятора
>>07:43:10 : снято : Авария привода подъёма п/д
>>07:43:12 : выставлено : Нет связи с БПМ
>>07:44:34 : снято : Нет связи с БПМ
>>07:44:36 : выставлено : Нет связи с БПМ
>>07:45:58 : снято : Нет связи с БПМ
>>07:46:00 : выставлено : Нет связи с БПМ
>>07:47:22 : снято : Нет связи с БПМ
>>07:47:24 : выставлено : Нет связи с БПМ
>>07:48:46 : снято : Нет связи с БПМ
>>07:48:48 : выставлено : Нет связи с БПМ
>>07:50:10 : снято : Нет связи с БПМ
>>07:50:12 : выставлено : Нет связи с БПМ
>>07:51:34 : снято : Нет связи с БПМ
>>07:51:36 : выставлено : Нет связи с БПМ
>>07:52:57 : снято : Нет связи с БПМ
>>07:52:59 : выставлено : Нет связи с БПМ
>>07:54:21 : снято : Нет связи с БПМ
>>07:54:23 : выставлено : Нет связи с БПМ
>>07:55:45 : снято : Нет связи с БПМ
>>07:55:47 : выставлено : Нет связи с БПМ
>>07:57:09 : снято : Нет связи с БПМ
>>07:57:11 : выставлено : Нет связи с БПМ
>>07:58:33 : снято : Нет связи с БПМ
>>07:58:35 : выставлено : Нет связи с БПМ
>>07:59:57 : снято : Нет связи с БПМ
>>07:59:59 : выставлено : Нет связи с БПМ
>>08:01:20 : снято : Нет связи с БПМ
>>08:01:23 : выставлено : Нет связи с БПМ
>>08:02:44 : снято : Нет связи с БПМ
>>08:02:46 : выставлено : Нет связи с БПМ
>>08:04:08 : снято : Нет связи с БПМ
>>08:04:10 : выставлено : Нет связи с БПМ
>>08:05:32 : снято : Нет связи с БПМ
>>08:05:34 : выставлено : Нет связи с БПМ
>>08:06:56 : снято : Нет связи с БПМ
>>08:06:58 : выставлено : Нет связи с БПМ
>>08:08:20 : снято : Нет связи с БПМ
>>08:08:22 : выставлено : Нет связи с БПМ
>>08:09:44 : снято : Нет связи с БПМ
>>08:09:46 : выставлено : Нет связи с БПМ
>>08:11:08 : снято : Нет связи с БПМ
>>08:11:10 : выставлено : Нет связи с БПМ
