>>10:17:11 : выставлено : Нет связи с БПМ
>>10:18:32 : снято : Нет связи с БПМ
>>10:18:35 : выставлено : Нет связи с БПМ
>>10:19:57 : снято : Нет связи с БПМ
>>10:19:59 : выставлено : Нет связи с БПМ
>>10:21:20 : снято : Нет связи с БПМ
>>10:21:22 : выставлено : Нет связи с БПМ
>>10:22:44 : снято : Нет связи с БПМ
>>10:22:46 : выставлено : Нет связи с БПМ
>>10:24:08 : снято : Нет связи с БПМ
>>10:24:10 : выставлено : Нет связи с БПМ
>>10:25:32 : снято : Нет связи с БПМ
>>10:25:34 : выставлено : Нет связи с БПМ
>>10:26:56 : снято : Нет связи с БПМ
>>10:26:58 : выставлено : Нет связи с БПМ
>>10:28:20 : снято : Нет связи с БПМ
>>10:28:22 : выставлено : Нет связи с БПМ
>>10:29:43 : снято : Нет связи с БПМ
>>10:29:45 : выставлено : Нет связи с БПМ
>>10:31:07 : снято : Нет связи с БПМ
>>10:31:09 : выставлено : Нет связи с БПМ
>>10:32:31 : снято : Нет связи с БПМ
>>10:32:33 : выставлено : Нет связи с БПМ
>>10:33:55 : снято : Нет связи с БПМ
>>10:33:57 : выставлено : Нет связи с БПМ
>>10:35:19 : снято : Нет связи с БПМ
>>10:35:21 : выставлено : Нет связи с БПМ
>>10:36:43 : снято : Нет связи с БПМ
>>10:36:45 : выставлено : Нет связи с БПМ
>>10:38:07 : снято : Нет связи с БПМ
>>10:38:08 : выставлено : Нет связи с БПМ
>>10:39:30 : снято : Нет связи с БПМ
>>10:39:32 : выставлено : Нет связи с БПМ
>>10:40:54 : снято : Нет связи с БПМ
>>10:40:56 : выставлено : Нет связи с БПМ
>>11:10:10 : выставлено : Нет охлаждения магнетрона
>>11:10:10 : выставлено : Нет охлаждения ТМН
>>11:10:10 : выставлено : Нет охлаждения шлюза
>>10:45:22 : выставлено : Нет охлаждения магнетрона
>>10:45:22 : выставлено : Нет охлаждения ТМН
>>10:45:22 : выставлено : Нет охлаждения шлюза
>>10:45:22 : выставлено : Нет давления в пневмосети
>>10:45:22 : выставлено : ТМН: предупреждение по температуре
>>10:45:22 : выставлено : Авария привода вращения магнетрона
>>10:45:22 : выставлено : Авария привода вращения п/д
>>10:45:22 : выставлено : Авария привода поворота заслонки
>>10:45:22 : выставлено : Авария привода манипулятора
>>10:45:22 : выставлено : Авария привода подъёма п/д
>>10:45:23 : снято : Нет давления в пневмосети
>>10:45:23 : снято : ТМН: предупреждение по температуре
>>10:45:23 : снято : Авария привода вращения магнетрона
>>10:45:23 : снято : Авария привода вращения п/д
>>10:45:23 : снято : Авария привода поворота заслонки
>>10:45:23 : снято : Авария привода манипулятора
>>10:45:23 : снято : Авария привода подъёма п/д
>>10:45:24 : выставлено : Нет связи с БПМ
>>10:46:46 : снято : Нет связи с БПМ
>>10:46:48 : выставлено : Нет связи с БПМ
>>10:48:10 : снято : Нет связи с БПМ
>>10:48:12 : выставлено : Нет связи с БПМ
>>10:49:34 : снято : Нет связи с БПМ
>>10:49:36 : выставлено : Нет связи с БПМ
>>10:50:58 : снято : Нет связи с БПМ
>>10:51:00 : выставлено : Нет связи с БПМ
>>10:52:22 : снято : Нет связи с БПМ
>>10:52:24 : выставлено : Нет связи с БПМ
>>10:53:46 : снято : Нет связи с БПМ
>>10:53:47 : выставлено : Нет связи с БПМ
>>10:55:09 : снято : Нет связи с БПМ
>>10:55:11 : выставлено : Нет связи с БПМ
>>10:56:33 : снято : Нет связи с БПМ
>>10:56:35 : выставлено : Нет связи с БПМ
>>10:57:57 : снято : Нет связи с БПМ
>>10:57:59 : выставлено : Нет связи с БПМ
>>10:59:21 : снято : Нет связи с БПМ
>>10:59:23 : выставлено : Нет связи с БПМ
>>11:00:45 : снято : Нет связи с БПМ
>>11:00:47 : выставлено : Нет связи с БПМ
>>11:02:09 : снято : Нет связи с БПМ
>>11:02:11 : выставлено : Нет связи с БПМ
>>11:03:33 : снято : Нет связи с БПМ
>>11:03:35 : выставлено : Нет связи с БПМ
>>11:04:56 : снято : Нет связи с БПМ
>>11:04:58 : выставлено : Нет связи с БПМ
>>11:06:20 : снято : Нет связи с БПМ
>>11:06:23 : выставлено : Нет связи с БПМ
>>11:07:44 : снято : Нет связи с БПМ
>>11:07:46 : выставлено : Нет связи с БПМ
>>11:09:08 : снято : Нет связи с БПМ
>>11:09:10 : выставлено : Нет связи с БПМ
>>11:10:37 : выставлено : Нет охлаждения магнетрона
>>11:10:37 : выставлено : Нет охлаждения ТМН
>>11:10:37 : выставлено : Нет охлаждения шлюза
>>11:10:37 : выставлено : Нет давления в пневмосети
>>11:10:37 : выставлено : ТМН: предупреждение по температуре
>>11:10:37 : выставлено : Авария привода вращения магнетрона
>>11:10:37 : выставлено : Авария привода вращения п/д
>>11:10:37 : выставлено : Авария привода поворота заслонки
>>11:10:37 : выставлено : Авария привода манипулятора
>>11:10:37 : выставлено : Авария привода подъёма п/д
>>11:10:37 : снято : Нет давления в пневмосети
>>11:10:37 : снято : ТМН: предупреждение по температуре
>>11:10:37 : снято : Авария привода вращения магнетрона
>>11:10:37 : снято : Авария привода вращения п/д
>>11:10:37 : снято : Авария привода поворота заслонки
>>11:10:37 : снято : Авария привода манипулятора
>>11:10:37 : снято : Авария привода подъёма п/д
>>11:10:39 : выставлено : Нет связи с БПМ
>>11:12:01 : снято : Нет связи с БПМ
>>11:12:03 : выставлено : Нет связи с БПМ
>>11:13:25 : снято : Нет связи с БПМ
>>11:13:27 : выставлено : Нет связи с БПМ
>>11:14:49 : снято : Нет связи с БПМ
>>11:14:51 : выставлено : Нет связи с БПМ
>>11:16:13 : снято : Нет связи с БПМ
>>11:16:15 : выставлено : Нет связи с БПМ
>>11:17:37 : снято : Нет связи с БПМ
>>11:17:39 : выставлено : Нет связи с БПМ
>>11:19:01 : снято : Нет связи с БПМ
>>11:19:03 : выставлено : Нет связи с БПМ
>>11:20:24 : снято : Нет связи с БПМ
>>11:20:27 : выставлено : Нет связи с БПМ
>>11:21:49 : снято : Нет связи с БПМ
>>11:21:51 : выставлено : Нет связи с БПМ
>>11:23:12 : снято : Нет связи с БПМ
>>11:23:14 : выставлено : Нет связи с БПМ
>>11:24:36 : снято : Нет связи с БПМ
>>11:24:38 : выставлено : Нет связи с БПМ
>>11:26:00 : снято : Нет связи с БПМ
>>11:26:02 : выставлено : Нет связи с БПМ
>>11:27:24 : снято : Нет связи с БПМ
>>11:27:26 : выставлено : Нет связи с БПМ
>>11:28:48 : снято : Нет связи с БПМ
>>11:28:50 : выставлено : Нет связи с БПМ
>>11:30:12 : снято : Нет связи с БПМ
>>11:30:14 : выставлено : Нет связи с БПМ
>>11:31:36 : снято : Нет связи с БПМ
>>11:31:37 : выставлено : Нет связи с БПМ
>>11:33:00 : снято : Нет связи с БПМ
>>11:33:02 : выставлено : Нет связи с БПМ
>>11:34:23 : снято : Нет связи с БПМ
>>11:34:25 : выставлено : Нет связи с БПМ
>>11:35:47 : снято : Нет связи с БПМ
>>11:35:49 : выставлено : Нет связи с БПМ
>>11:37:11 : снято : Нет связи с БПМ
>>11:37:13 : выставлено : Нет связи с БПМ
>>11:38:35 : снято : Нет связи с БПМ
>>11:38:37 : выставлено : Нет связи с БПМ
>>11:39:59 : снято : Нет связи с БПМ
>>11:40:01 : выставлено : Нет связи с БПМ
>>11:41:22 : снято : Нет связи с БПМ
>>11:41:25 : выставлено : Нет связи с БПМ
>>11:42:46 : снято : Нет связи с БПМ
>>11:42:49 : выставлено : Нет связи с БПМ
>>11:44:10 : снято : Нет связи с БПМ
>>11:44:12 : выставлено : Нет связи с БПМ
>>11:45:34 : снято : Нет связи с БПМ
>>11:45:36 : выставлено : Нет связи с БПМ
>>11:46:58 : снято : Нет связи с БПМ
>>11:47:00 : выставлено : Нет связи с БПМ
>>11:48:22 : снято : Нет связи с БПМ
>>11:48:24 : выставлено : Нет связи с БПМ
>>11:49:46 : снято : Нет связи с БПМ
>>11:49:48 : выставлено : Нет связи с БПМ
>>11:51:10 : снято : Нет связи с БПМ
>>11:51:12 : выставлено : Нет связи с БПМ
>>11:52:33 : снято : Нет связи с БПМ
>>11:52:35 : выставлено : Нет связи с БПМ
>>11:53:41 : выставлено : Нет готовности манипулятора
>>11:53:41 : снято : Нет готовности манипулятора
>>11:53:58 : снято : Нет связи с БПМ
>>11:53:59 : выставлено : Нет связи с БПМ
>>11:55:21 : снято : Нет связи с БПМ
>>11:55:23 : выставлено : Нет связи с БПМ
>>11:56:45 : снято : Нет связи с БПМ
>>11:56:47 : выставлено : Нет связи с БПМ
>>11:58:09 : снято : Нет связи с БПМ
>>11:58:11 : выставлено : Нет связи с БПМ
>>11:59:33 : снято : Нет связи с БПМ
>>11:59:35 : выставлено : Нет связи с БПМ
>>12:00:57 : снято : Нет связи с БПМ
>>12:00:59 : выставлено : Нет связи с БПМ
>>12:02:20 : снято : Нет связи с БПМ
>>12:02:22 : выставлено : Нет связи с БПМ
>>12:03:44 : снято : Нет связи с БПМ
>>12:03:46 : выставлено : Нет связи с БПМ
>>12:05:08 : снято : Нет связи с БПМ
>>12:05:10 : выставлено : Нет связи с БПМ
>>12:06:32 : снято : Нет связи с БПМ
>>12:06:34 : выставлено : Нет связи с БПМ
>>12:07:56 : снято : Нет связи с БПМ
>>12:07:58 : выставлено : Нет связи с БПМ
>>12:09:20 : снято : Нет связи с БПМ
>>12:09:22 : выставлено : Нет связи с БПМ
>>12:10:44 : снято : Нет связи с БПМ
>>12:10:46 : выставлено : Нет связи с БПМ
>>12:12:08 : снято : Нет связи с БПМ
>>12:12:10 : выставлено : Нет связи с БПМ
>>12:13:31 : снято : Нет связи с БПМ
>>12:13:33 : выставлено : Нет связи с БПМ
>>12:14:56 : снято : Нет связи с БПМ
>>12:14:57 : выставлено : Нет связи с БПМ
>>12:16:19 : снято : Нет связи с БПМ
>>12:16:21 : выставлено : Нет связи с БПМ
>>12:17:43 : снято : Нет связи с БПМ
>>12:17:45 : выставлено : Нет связи с БПМ
>>12:19:07 : снято : Нет связи с БПМ
>>12:19:09 : выставлено : Нет связи с БПМ
>>12:20:31 : снято : Нет связи с БПМ
>>12:20:33 : выставлено : Нет связи с БПМ
>>12:21:54 : снято : Нет связи с БПМ
>>12:21:56 : выставлено : Нет связи с БПМ
>>12:23:18 : снято : Нет связи с БПМ
>>12:23:20 : выставлено : Нет связи с БПМ
>>12:24:42 : снято : Нет связи с БПМ
>>12:24:44 : выставлено : Нет связи с БПМ
>>12:26:06 : снято : Нет связи с БПМ
>>12:26:08 : выставлено : Нет связи с БПМ
>>12:27:30 : снято : Нет связи с БПМ
>>12:27:32 : выставлено : Нет связи с БПМ
>>12:28:54 : снято : Нет связи с БПМ
>>12:28:56 : выставлено : Нет связи с БПМ
>>12:30:18 : снято : Нет связи с БПМ
>>12:30:20 : выставлено : Нет связи с БПМ
>>12:31:42 : снято : Нет связи с БПМ
>>12:31:43 : выставлено : Нет связи с БПМ
>>12:33:06 : снято : Нет связи с БПМ
>>12:33:08 : выставлено : Нет связи с БПМ
>>12:34:29 : снято : Нет связи с БПМ
>>12:34:31 : выставлено : Нет связи с БПМ
>>12:35:53 : снято : Нет связи с БПМ
>>12:35:55 : выставлено : Нет связи с БПМ
>>12:37:17 : снято : Нет связи с БПМ
>>12:37:19 : выставлено : Нет связи с БПМ
>>12:38:41 : снято : Нет связи с БПМ
>>12:38:43 : выставлено : Нет связи с БПМ
>>12:40:05 : снято : Нет связи с БПМ
>>12:40:07 : выставлено : Нет связи с БПМ
>>12:41:29 : снято : Нет связи с БПМ
>>12:41:31 : выставлено : Нет связи с БПМ
>>12:42:53 : снято : Нет связи с БПМ
>>12:42:54 : выставлено : Нет связи с БПМ
>>12:44:16 : снято : Нет связи с БПМ
>>12:44:18 : выставлено : Нет связи с БПМ
>>12:45:40 : снято : Нет связи с БПМ
>>12:45:42 : выставлено : Нет связи с БПМ
>>12:47:04 : снято : Нет связи с БПМ
>>12:47:06 : выставлено : Нет связи с БПМ
>>12:48:28 : снято : Нет связи с БПМ
>>12:48:30 : выставлено : Нет связи с БПМ
>>12:49:52 : снято : Нет связи с БПМ
>>12:49:54 : выставлено : Нет связи с БПМ
>>12:51:16 : снято : Нет связи с БПМ
>>12:51:18 : выставлено : Нет связи с БПМ
>>12:52:40 : снято : Нет связи с БПМ
>>12:52:42 : выставлено : Нет связи с БПМ
>>12:54:04 : снято : Нет связи с БПМ
>>12:54:06 : выставлено : Нет связи с БПМ
>>12:55:27 : снято : Нет связи с БПМ
>>12:55:29 : выставлено : Нет связи с БПМ
>>12:56:52 : снято : Нет связи с БПМ
>>12:56:53 : выставлено : Нет связи с БПМ
>>12:58:15 : снято : Нет связи с БПМ
>>12:58:17 : выставлено : Нет связи с БПМ
