>>10:26:07 : снято : Нет связи с транспортным модулем
>>10:26:09 : выставлено : Нет связи с транспортным модулем
>>10:26:09 : снято : Нет связи с транспортным модулем
>>10:26:15 : выставлено : Нет связи с транспортным модулем
>>10:26:16 : снято : Нет связи с транспортным модулем
>>10:26:18 : выставлено : Нет связи с транспортным модулем
>>10:26:18 : снято : Нет связи с транспортным модулем
>>10:26:20 : выставлено : Нет связи с транспортным модулем
>>10:26:21 : снято : Нет связи с транспортным модулем
>>10:26:23 : выставлено : Нет связи с транспортным модулем
>>10:26:23 : снято : Нет связи с транспортным модулем
>>10:26:27 : выставлено : Нет связи с транспортным модулем
>>10:26:28 : снято : Нет связи с транспортным модулем
>>10:26:29 : выставлено : Нет связи с транспортным модулем
>>10:26:29 : снято : Нет связи с транспортным модулем
>>10:26:30 : выставлено : Нет связи с транспортным модулем
>>10:26:31 : снято : Нет связи с транспортным модулем
>>10:26:34 : выставлено : Нет связи с транспортным модулем
>>10:26:35 : снято : Нет связи с транспортным модулем
>>10:26:35 : выставлено : Нет связи с транспортным модулем
>>10:26:36 : снято : Нет связи с транспортным модулем
>>10:26:37 : выставлено : Нет связи с транспортным модулем
>>10:26:38 : снято : Нет связи с транспортным модулем
>>10:26:39 : выставлено : Нет связи с транспортным модулем
>>10:26:39 : снято : Нет связи с транспортным модулем
>>10:26:41 : выставлено : Нет связи с транспортным модулем
>>10:26:42 : снято : Нет связи с транспортным модулем
>>10:26:44 : выставлено : Нет связи с транспортным модулем
>>10:26:45 : снято : Нет связи с транспортным модулем
>>10:26:47 : выставлено : Нет связи с транспортным модулем
>>10:26:47 : снято : Нет связи с транспортным модулем
>>10:26:51 : выставлено : Нет связи с транспортным модулем
>>10:26:51 : снято : Нет связи с транспортным модулем
>>10:26:53 : выставлено : Нет связи с транспортным модулем
>>10:26:54 : снято : Нет связи с транспортным модулем
>>10:26:56 : выставлено : Нет связи с транспортным модулем
>>10:26:56 : снято : Нет связи с транспортным модулем
>>10:27:00 : выставлено : Нет связи с транспортным модулем
>>10:27:00 : снято : Нет связи с транспортным модулем
>>10:27:02 : выставлено : Нет связи с транспортным модулем
>>10:27:03 : снято : Нет связи с транспортным модулем
>>10:27:09 : выставлено : Нет связи с транспортным модулем
>>10:27:09 : снято : Нет связи с транспортным модулем
>>10:27:11 : выставлено : Нет связи с транспортным модулем
>>10:27:13 : снято : Нет связи с транспортным модулем
>>10:27:15 : выставлено : Нет связи с транспортным модулем
>>10:27:17 : снято : Нет связи с транспортным модулем
>>10:27:19 : выставлено : Нет связи с транспортным модулем
>>10:27:19 : снято : Нет связи с транспортным модулем
>>10:27:20 : выставлено : Нет связи с транспортным модулем
>>10:27:21 : снято : Нет связи с транспортным модулем
>>10:27:23 : выставлено : Нет связи с транспортным модулем
>>10:27:24 : снято : Нет связи с транспортным модулем
>>10:27:27 : выставлено : Нет связи с транспортным модулем
>>10:27:28 : снято : Нет связи с транспортным модулем
>>10:27:30 : выставлено : Нет связи с транспортным модулем
>>10:27:30 : снято : Нет связи с транспортным модулем
>>10:27:34 : выставлено : Нет связи с транспортным модулем
>>10:27:34 : снято : Нет связи с транспортным модулем
>>10:27:36 : выставлено : Нет связи с транспортным модулем
>>10:27:37 : снято : Нет связи с транспортным модулем
>>10:27:38 : выставлено : Нет связи с транспортным модулем
>>10:27:39 : снято : Нет связи с транспортным модулем
>>10:27:41 : выставлено : Нет связи с транспортным модулем
>>10:27:42 : снято : Нет связи с транспортным модулем
>>10:27:46 : выставлено : Нет связи с транспортным модулем
>>10:27:47 : снято : Нет связи с транспортным модулем
>>10:27:50 : выставлено : Нет связи с транспортным модулем
>>10:27:51 : снято : Нет связи с транспортным модулем
>>10:27:52 : выставлено : Нет связи с транспортным модулем
>>10:27:52 : снято : Нет связи с транспортным модулем
>>10:27:53 : выставлено : Нет связи с транспортным модулем
>>10:27:54 : снято : Нет связи с транспортным модулем
>>10:27:57 : выставлено : Нет связи с транспортным модулем
>>10:27:59 : снято : Нет связи с транспортным модулем
>>10:28:02 : выставлено : Нет связи с транспортным модулем
>>10:28:03 : снято : Нет связи с транспортным модулем
>>10:28:05 : выставлено : Нет связи с транспортным модулем
>>10:28:06 : снято : Нет связи с транспортным модулем
>>10:28:12 : выставлено : Нет связи с транспортным модулем
>>10:28:12 : снято : Нет связи с транспортным модулем
>>10:28:14 : выставлено : Нет связи с транспортным модулем
>>10:28:15 : снято : Нет связи с транспортным модулем
>>10:28:18 : выставлено : Нет связи с транспортным модулем
>>10:28:20 : снято : Нет связи с транспортным модулем
>>10:28:22 : выставлено : Нет связи с транспортным модулем
>>10:28:23 : снято : Нет связи с транспортным модулем
>>10:28:24 : выставлено : Нет связи с транспортным модулем
>>10:28:25 : снято : Нет связи с транспортным модулем
>>10:28:28 : выставлено : Нет связи с транспортным модулем
>>10:28:29 : снято : Нет связи с транспортным модулем
>>10:28:30 : выставлено : Нет связи с транспортным модулем
>>10:28:30 : снято : Нет связи с транспортным модулем
>>10:28:31 : выставлено : Нет связи с транспортным модулем
>>10:28:32 : снято : Нет связи с транспортным модулем
>>10:28:35 : выставлено : Нет связи с транспортным модулем
>>10:28:36 : снято : Нет связи с транспортным модулем
>>10:28:37 : выставлено : Нет связи с транспортным модулем
>>10:28:38 : снято : Нет связи с транспортным модулем
>>10:28:39 : выставлено : Нет связи с транспортным модулем
>>10:28:39 : снято : Нет связи с транспортным модулем
>>10:28:43 : выставлено : Нет связи с транспортным модулем
>>10:28:43 : снято : Нет связи с транспортным модулем
>>10:28:44 : выставлено : Нет связи с транспортным модулем
>>10:28:45 : снято : Нет связи с транспортным модулем
>>10:28:46 : выставлено : Нет связи с транспортным модулем
>>10:28:46 : снято : Нет связи с транспортным модулем
>>10:28:47 : выставлено : Нет связи с транспортным модулем
>>10:28:48 : снято : Нет связи с транспортным модулем
>>10:28:49 : выставлено : Нет связи с транспортным модулем
>>10:28:49 : снято : Нет связи с транспортным модулем
>>10:28:50 : выставлено : Нет связи с транспортным модулем
>>10:28:51 : снято : Нет связи с транспортным модулем
>>10:28:51 : выставлено : Нет связи с транспортным модулем
>>10:28:53 : снято : Нет связи с транспортным модулем
>>10:28:56 : выставлено : Нет связи с транспортным модулем
>>10:28:57 : снято : Нет связи с транспортным модулем
>>10:28:58 : выставлено : Нет связи с транспортным модулем
>>10:28:58 : снято : Нет связи с транспортным модулем
>>10:29:02 : выставлено : Нет связи с транспортным модулем
>>10:29:02 : снято : Нет связи с транспортным модулем
