>>13:04:39 : снято : Нет связи с транспортным модулем
>>13:04:45 : выставлено : Нет связи с транспортным модулем
>>13:04:46 : снято : Нет связи с транспортным модулем
>>13:04:51 : выставлено : Нет связи с транспортным модулем
>>13:04:52 : снято : Нет связи с транспортным модулем
>>13:05:44 : выставлено : Нет связи с транспортным модулем
>>13:05:45 : снято : Нет связи с транспортным модулем
>>13:06:12 : выставлено : Нет связи с транспортным модулем
>>13:06:13 : снято : Нет связи с транспортным модулем
>>13:06:17 : выставлено : Нет связи с транспортным модулем
>>13:06:17 : снято : Нет связи с транспортным модулем
>>13:06:24 : выставлено : Нет связи с транспортным модулем
>>13:06:24 : снято : Нет связи с транспортным модулем
>>13:06:26 : выставлено : Нет связи с транспортным модулем
>>13:06:26 : снято : Нет связи с транспортным модулем
>>13:06:34 : выставлено : Нет связи с транспортным модулем
>>13:06:35 : снято : Нет связи с транспортным модулем
>>13:06:50 : выставлено : Нет связи с транспортным модулем
>>13:06:50 : снято : Нет связи с транспортным модулем
>>13:07:07 : выставлено : Нет связи с транспортным модулем
>>13:07:08 : снято : Нет связи с транспортным модулем
>>13:07:09 : выставлено : Нет связи с транспортным модулем
>>13:07:10 : снято : Нет связи с транспортным модулем
>>13:07:20 : выставлено : Нет связи с транспортным модулем
>>13:07:21 : снято : Нет связи с транспортным модулем
>>13:08:39 : выставлено : Нет связи с транспортным модулем
>>13:08:40 : снято : Нет связи с транспортным модулем
>>13:08:41 : выставлено : Нет связи с транспортным модулем
>>13:08:42 : снято : Нет связи с транспортным модулем
>>13:08:52 : выставлено : Нет связи с транспортным модулем
>>13:08:53 : снято : Нет связи с транспортным модулем
>>13:09:01 : выставлено : Нет связи с транспортным модулем
>>13:09:01 : снято : Нет связи с транспортным модулем
>>13:09:05 : выставлено : Нет связи с транспортным модулем
>>13:09:06 : снято : Нет связи с транспортным модулем
>>13:09:22 : выставлено : Нет связи с транспортным модулем
>>13:09:23 : снято : Нет связи с транспортным модулем
>>13:09:34 : выставлено : Нет связи с транспортным модулем
>>13:09:34 : снято : Нет связи с транспортным модулем
>>13:10:50 : выставлено : Нет связи с транспортным модулем
>>13:10:50 : снято : Нет связи с транспортным модулем
>>13:10:57 : выставлено : Нет связи с транспортным модулем
>>13:10:57 : снято : Нет связи с транспортным модулем
>>13:12:02 : выставлено : Нет связи с транспортным модулем
>>13:12:03 : снято : Нет связи с транспортным модулем
>>13:12:14 : выставлено : Нет связи с транспортным модулем
>>13:12:15 : снято : Нет связи с транспортным модулем
>>13:13:42 : выставлено : Нет связи с транспортным модулем
>>13:13:43 : снято : Нет связи с транспортным модулем
>>13:13:49 : выставлено : Нет связи с транспортным модулем
>>13:13:50 : снято : Нет связи с транспортным модулем
>>13:13:52 : выставлено : Нет связи с транспортным модулем
>>13:13:52 : снято : Нет связи с транспортным модулем
>>13:16:01 : выставлено : Нет связи с транспортным модулем
>>13:16:02 : снято : Нет связи с транспортным модулем
>>13:17:51 : выставлено : Нет связи с транспортным модулем
>>13:17:51 : снято : Нет связи с транспортным модулем
>>13:29:32 : выставлено : Нет связи с транспортным модулем
>>13:29:33 : снято : Нет связи с транспортным модулем
>>13:29:48 : выставлено : Нет связи с транспортным модулем
>>13:29:49 : снято : Нет связи с транспортным модулем
>>13:30:36 : выставлено : Нет связи с транспортным модулем
>>13:30:37 : снято : Нет связи с транспортным модулем
>>13:30:58 : выставлено : Нет связи с транспортным модулем
>>13:30:59 : снято : Нет связи с транспортным модулем
>>13:31:28 : выставлено : Нет связи с транспортным модулем
>>13:31:29 : снято : Нет связи с транспортным модулем
>>13:31:59 : выставлено : Нет связи с транспортным модулем
>>13:32:00 : снято : Нет связи с транспортным модулем
>>13:32:21 : выставлено : Нет связи с транспортным модулем
>>13:32:22 : снято : Нет связи с транспортным модулем
>>13:33:10 : выставлено : Нет связи с транспортным модулем
>>13:33:11 : снято : Нет связи с транспортным модулем
>>13:33:43 : выставлено : Нет связи с транспортным модулем
>>13:33:43 : снято : Нет связи с транспортным модулем
>>13:36:04 : выставлено : Нет связи с транспортным модулем
>>13:36:05 : снято : Нет связи с транспортным модулем
>>13:36:30 : выставлено : Нет связи с транспортным модулем
>>13:36:31 : снято : Нет связи с транспортным модулем
>>13:36:51 : выставлено : Нет связи с транспортным модулем
>>13:36:51 : снято : Нет связи с транспортным модулем
>>13:37:18 : выставлено : Нет связи с транспортным модулем
>>13:37:19 : снято : Нет связи с транспортным модулем
>>13:37:44 : выставлено : Нет связи с транспортным модулем
>>13:37:45 : снято : Нет связи с транспортным модулем
>>13:38:37 : выставлено : Нет связи с транспортным модулем
>>13:38:38 : снято : Нет связи с транспортным модулем
>>13:39:35 : выставлено : Нет связи с транспортным модулем
>>13:39:36 : снято : Нет связи с транспортным модулем
>>13:39:55 : выставлено : Нет связи с транспортным модулем
>>13:39:56 : снято : Нет связи с транспортным модулем
>>13:39:57 : выставлено : Нет связи с транспортным модулем
>>13:39:58 : снято : Нет связи с транспортным модулем
>>13:40:19 : выставлено : Нет связи с транспортным модулем
>>13:40:20 : снято : Нет связи с транспортным модулем
>>13:40:24 : выставлено : Нет связи с транспортным модулем
>>13:40:25 : снято : Нет связи с транспортным модулем
>>13:40:55 : выставлено : Нет связи с транспортным модулем
>>13:40:56 : снято : Нет связи с транспортным модулем
>>13:41:00 : выставлено : Нет связи с транспортным модулем
>>13:41:00 : снято : Нет связи с транспортным модулем
>>13:41:04 : выставлено : Нет связи с транспортным модулем
>>13:41:05 : снято : Нет связи с транспортным модулем
>>13:41:07 : выставлено : Нет связи с транспортным модулем
>>13:41:07 : снято : Нет связи с транспортным модулем
>>13:41:09 : выставлено : Нет связи с транспортным модулем
>>13:41:09 : снято : Нет связи с транспортным модулем
>>13:41:13 : выставлено : Нет связи с транспортным модулем
>>13:41:14 : снято : Нет связи с транспортным модулем
>>13:41:15 : выставлено : Нет связи с транспортным модулем
>>13:41:16 : снято : Нет связи с транспортным модулем
>>13:41:53 : выставлено : Нет связи с транспортным модулем
>>13:41:54 : снято : Нет связи с транспортным модулем
>>13:41:55 : выставлено : Нет связи с транспортным модулем
>>13:41:56 : снято : Нет связи с транспортным модулем
>>13:42:00 : выставлено : Нет связи с транспортным модулем
>>13:42:01 : снято : Нет связи с транспортным модулем
>>13:42:24 : выставлено : Нет связи с транспортным модулем
>>13:42:25 : снято : Нет связи с транспортным модулем
