>>00:00:00 : выставлено : Автосогласование ВЧГ ИП запрещено
>>00:00:00 : выставлено : Чиллер(п/д): авария
>>00:00:00 : выставлено : Нет давления в пневмосети
>>00:00:00 : выставлено : Нет охлаждения п/держателя
>>00:00:00 : выставлено : Нет охлаждения форнасоса камеры
>>00:00:00 : выставлено : ТМН: температура не в норме
>>00:00:00 : выставлено : Нет охлаждения ТМН
>>00:00:00 : выставлено : Ограничение движения УС ВЧГ ИП(грубо)
>>00:00:00 : выставлено : Ограничение движения УС ВЧГ ИП(точно)
>>00:00:00 : выставлено : Форнасос камеры: нет удаленного управления
>>00:00:00 : выставлено : Форнасос камеры: предупреждение
>>00:00:00 : выставлено : Нет воды в скруббере
>>00:00:00 : выставлено : Авария привода прижима 
>>10:39:53 : снято : Чиллер(п/д): авария
>>10:39:53 : снято : Нет давления в пневмосети
>>10:39:53 : снято : Нет охлаждения п/держателя
>>10:39:53 : снято : Ограничение движения УС ВЧГ ИП(грубо)
>>10:39:53 : снято : Ограничение движения УС ВЧГ ИП(точно)
>>10:39:53 : снято : Форнасос камеры: нет удаленного управления
>>10:39:53 : снято : Форнасос камеры: предупреждение
>>10:39:53 : снято : Нет воды в скруббере
>>10:39:53 : снято : Авария привода прижима 
>>10:39:54 : выставлено : Нет связи с транспортным модулем
>>10:40:21 : снято : Нет связи с транспортным модулем
>>10:40:22 : выставлено : Нет связи с транспортным модулем
>>10:40:24 : снято : Нет связи с транспортным модулем
>>10:40:24 : выставлено : Нет связи с транспортным модулем
>>10:40:33 : снято : Нет связи с транспортным модулем
>>10:40:33 : выставлено : Нет связи с транспортным модулем
>>10:40:42 : снято : Нет связи с транспортным модулем
>>10:40:42 : выставлено : Нет связи с транспортным модулем
>>10:40:46 : снято : Нет связи с транспортным модулем
>>10:40:47 : выставлено : Нет связи с транспортным модулем
>>10:40:52 : снято : Нет связи с транспортным модулем
>>10:40:52 : выставлено : Нет связи с транспортным модулем
>>10:41:04 : снято : Нет связи с транспортным модулем
>>10:41:05 : выставлено : Нет связи с транспортным модулем
>>10:41:08 : снято : Нет связи с транспортным модулем
>>10:41:09 : выставлено : Нет связи с транспортным модулем
>>10:41:10 : снято : Нет связи с транспортным модулем
>>10:41:10 : выставлено : Нет связи с транспортным модулем
>>10:41:26 : снято : Нет связи с транспортным модулем
>>10:41:27 : выставлено : Нет связи с транспортным модулем
>>10:41:29 : снято : Нет связи с транспортным модулем
>>10:41:30 : выставлено : Нет связи с транспортным модулем
>>10:41:35 : снято : Нет связи с транспортным модулем
>>10:41:36 : выставлено : Нет связи с транспортным модулем
>>10:41:49 : снято : Нет связи с транспортным модулем
>>10:41:50 : выставлено : Нет связи с транспортным модулем
>>10:41:53 : снято : Нет связи с транспортным модулем
>>10:41:54 : выставлено : Нет связи с транспортным модулем
>>10:42:01 : снято : Нет связи с транспортным модулем
>>10:42:01 : выставлено : Нет связи с транспортным модулем
>>10:42:12 : снято : Нет связи с транспортным модулем
>>10:42:13 : выставлено : Нет связи с транспортным модулем
>>10:42:16 : снято : Нет связи с транспортным модулем
>>10:42:16 : выставлено : Нет связи с транспортным модулем
>>10:42:39 : снято : Нет связи с транспортным модулем
>>10:42:40 : выставлено : Нет связи с транспортным модулем
>>10:42:49 : снято : Нет связи с транспортным модулем
>>10:42:50 : выставлено : Нет связи с транспортным модулем
>>10:42:58 : снято : Нет связи с транспортным модулем
>>10:42:59 : выставлено : Нет связи с транспортным модулем
>>10:43:00 : снято : Нет связи с транспортным модулем
>>10:43:01 : выставлено : Нет связи с транспортным модулем
>>10:43:06 : снято : Нет связи с транспортным модулем
>>10:43:07 : выставлено : Нет связи с транспортным модулем
>>10:43:09 : снято : Нет связи с транспортным модулем
>>10:43:10 : выставлено : Нет связи с транспортным модулем
>>10:43:11 : снято : Нет связи с транспортным модулем
>>10:43:13 : выставлено : Нет связи с транспортным модулем
>>10:43:23 : снято : Нет связи с транспортным модулем
>>10:43:24 : выставлено : Нет связи с транспортным модулем
>>10:43:40 : снято : Нет связи с транспортным модулем
>>10:43:41 : выставлено : Нет связи с транспортным модулем
>>10:43:42 : снято : Нет связи с транспортным модулем
>>10:43:43 : выставлено : Нет связи с транспортным модулем
>>10:43:46 : снято : Нет связи с транспортным модулем
>>10:43:47 : выставлено : Нет связи с транспортным модулем
>>10:43:53 : снято : Нет связи с транспортным модулем
>>10:43:54 : выставлено : Нет связи с транспортным модулем
>>10:44:06 : снято : Нет связи с транспортным модулем
>>10:44:07 : выставлено : Нет связи с транспортным модулем
>>10:44:09 : снято : Нет связи с транспортным модулем
>>10:44:10 : выставлено : Нет связи с транспортным модулем
>>10:44:37 : снято : Нет связи с транспортным модулем
>>10:44:37 : выставлено : Нет связи с транспортным модулем
>>10:45:05 : снято : Нет связи с транспортным модулем
>>10:45:06 : выставлено : Нет связи с транспортным модулем
>>10:45:33 : снято : Нет связи с транспортным модулем
>>10:45:33 : выставлено : Нет связи с транспортным модулем
>>10:46:01 : снято : Нет связи с транспортным модулем
>>10:46:01 : выставлено : Нет связи с транспортным модулем
>>10:46:29 : снято : Нет связи с транспортным модулем
>>10:46:30 : выставлено : Нет связи с транспортным модулем
>>10:46:57 : снято : Нет связи с транспортным модулем
>>10:46:57 : выставлено : Нет связи с транспортным модулем
>>10:47:25 : снято : Нет связи с транспортным модулем
>>10:47:25 : выставлено : Нет связи с транспортным модулем
>>10:47:53 : снято : Нет связи с транспортным модулем
>>10:47:53 : выставлено : Нет связи с транспортным модулем
>>10:48:21 : снято : Нет связи с транспортным модулем
>>10:48:21 : выставлено : Нет связи с транспортным модулем
>>10:48:48 : снято : Нет связи с транспортным модулем
>>10:48:49 : выставлено : Нет связи с транспортным модулем
>>10:49:17 : снято : Нет связи с транспортным модулем
>>10:49:17 : выставлено : Нет связи с транспортным модулем
>>10:49:45 : снято : Нет связи с транспортным модулем
>>10:49:45 : выставлено : Нет связи с транспортным модулем
>>10:50:12 : снято : Нет связи с транспортным модулем
>>10:50:13 : выставлено : Нет связи с транспортным модулем
>>10:50:41 : снято : Нет связи с транспортным модулем
>>10:50:41 : выставлено : Нет связи с транспортным модулем
>>10:51:08 : снято : Нет связи с транспортным модулем
>>10:51:09 : выставлено : Нет связи с транспортным модулем
>>10:51:36 : снято : Нет связи с транспортным модулем
>>10:51:37 : выставлено : Нет связи с транспортным модулем
>>10:52:04 : снято : Нет связи с транспортным модулем
>>10:52:05 : выставлено : Нет связи с транспортным модулем
>>10:52:32 : снято : Нет связи с транспортным модулем
>>10:52:33 : выставлено : Нет связи с транспортным модулем
>>10:53:00 : снято : Нет связи с транспортным модулем
>>10:53:01 : выставлено : Нет связи с транспортным модулем
>>10:53:28 : снято : Нет связи с транспортным модулем
>>10:53:29 : выставлено : Нет связи с транспортным модулем
>>10:53:56 : снято : Нет связи с транспортным модулем
>>10:53:57 : выставлено : Нет связи с транспортным модулем
>>10:54:24 : снято : Нет связи с транспортным модулем
>>10:54:25 : выставлено : Нет связи с транспортным модулем
>>10:54:52 : снято : Нет связи с транспортным модулем
>>10:54:52 : выставлено : Нет связи с транспортным модулем
>>10:55:20 : снято : Нет связи с транспортным модулем
>>10:55:20 : выставлено : Нет связи с транспортным модулем
>>10:55:48 : снято : Нет связи с транспортным модулем
>>10:55:49 : выставлено : Нет связи с транспортным модулем
>>10:56:16 : снято : Нет связи с транспортным модулем
>>10:56:16 : выставлено : Нет связи с транспортным модулем
>>10:56:44 : снято : Нет связи с транспортным модулем
>>10:56:45 : выставлено : Нет связи с транспортным модулем
>>10:57:12 : снято : Нет связи с транспортным модулем
>>10:57:12 : выставлено : Нет связи с транспортным модулем
>>10:57:40 : снято : Нет связи с транспортным модулем
>>10:57:40 : выставлено : Нет связи с транспортным модулем
>>10:58:08 : снято : Нет связи с транспортным модулем
>>10:58:08 : выставлено : Нет связи с транспортным модулем
>>10:58:36 : снято : Нет связи с транспортным модулем
>>10:58:36 : выставлено : Нет связи с транспортным модулем
>>10:59:04 : снято : Нет связи с транспортным модулем
>>10:59:04 : выставлено : Нет связи с транспортным модулем
>>10:59:31 : снято : Нет связи с транспортным модулем
>>10:59:32 : выставлено : Нет связи с транспортным модулем
>>11:00:00 : снято : Нет связи с транспортным модулем
>>11:00:00 : выставлено : Нет связи с транспортным модулем
